model,run,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,DBC,VNQ,CASH,turnover,viol_r1,viol_r2,viol_r3,viol_r4,viol_r5,full_repair
google-antigravity-gemini-3.1-pro-high,run_004,18.0,15.0,5.0,8.0,3.0,12.0,8.0,10.0,3.0,5.0,13.0,1.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_005,18.0,13.0,5.0,8.0,2.0,14.0,8.0,10.0,3.0,5.0,14.0,4.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_006,18.0,14.0,5.0,8.0,2.0,13.0,8.0,10.0,3.0,5.0,14.0,3.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_007,18.0,14.0,5.0,8.0,3.0,13.0,8.0,10.0,3.0,5.0,13.0,2.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_008,18.0,13.0,5.0,8.0,3.0,12.0,8.0,10.0,3.0,5.0,15.0,3.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_009,18.0,14.0,5.0,8.0,3.0,13.0,8.0,10.0,3.0,5.0,13.0,2.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_010,20.0,15.0,5.0,8.0,4.0,12.0,8.0,10.0,3.0,5.0,10.0,2.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_001,18.0,13.0,5.0,8.0,2.0,13.0,8.0,10.0,4.0,5.0,14.0,4.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_002,18.0,13.0,5.0,8.0,2.0,14.0,8.0,10.0,5.0,5.0,12.0,4.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_003,18.0,13.0,5.0,8.0,3.0,13.0,8.0,10.0,4.0,5.0,13.0,3.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_004,18.0,13.0,5.0,8.0,2.0,12.0,8.0,10.0,4.0,5.0,15.0,4.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_005,18.0,13.0,5.0,8.0,3.0,12.0,8.0,10.0,5.0,5.0,13.0,3.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_006,18.0,13.0,5.0,8.0,3.0,12.0,8.0,10.0,5.0,5.0,13.0,3.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_007,18.0,13.0,5.0,8.0,3.0,13.0,8.0,10.0,3.0,5.0,14.0,3.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_008,18.0,13.0,5.0,8.0,3.0,13.0,9.0,10.0,4.0,5.0,12.0,3.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_009,18.0,13.0,5.0,8.0,3.0,13.0,9.0,10.0,3.0,5.0,13.0,3.0,False,False,False,False,False,True
google-antigravity-gemini-3.7-flash-high,run_010,18.0,13.0,5.0,8.0,2.0,12.0,8.0,10.0,5.0,5.0,14.0,4.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_001,18.0,13.0,7.0,8.0,2.0,12.0,8.0,10.0,3.0,5.0,14.0,4.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_002,18.0,15.0,7.0,8.0,2.0,12.0,8.0,10.0,3.0,5.0,12.0,2.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_003,19.0,14.0,5.0,8.0,3.0,10.0,8.0,10.0,3.0,5.0,15.0,4.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_004,18.0,13.0,5.0,8.0,3.0,12.0,8.0,10.0,4.0,5.0,14.0,3.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_005,19.0,15.0,7.0,8.0,2.0,12.0,6.0,10.0,3.0,5.0,13.0,4.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_006,19.0,13.0,5.0,8.0,2.0,12.0,8.0,10.0,3.0,5.0,15.0,4.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_007,20.0,13.0,6.0,8.0,4.0,10.0,8.0,10.0,3.0,5.0,13.0,4.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_008,18.0,13.0,5.0,8.0,2.0,10.0,8.0,10.0,3.0,5.0,16.0,5.0,False,False,True,False,False,False
synthetic-syn-large-text-high,run_009,17.0,13.0,7.0,8.0,3.0,12.0,8.0,11.0,3.0,5.0,13.0,4.0,False,False,False,False,False,True
synthetic-syn-large-text-high,run_010,18.0,13.0,7.0,8.0,2.0,12.0,8.0,10.0,3.0,5.0,14.0,4.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_001,18.0,15.0,5.0,8.0,4.0,8.0,8.0,10.0,3.0,5.0,16.0,4.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_002,20.0,12.0,7.0,8.0,2.0,9.0,9.0,10.0,5.0,5.0,13.0,8.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_003,18.0,15.0,5.0,8.0,4.0,12.0,8.0,10.0,3.0,5.0,12.0,0.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_004,20.0,11.0,9.0,14.0,2.0,10.0,6.0,7.0,4.0,5.0,12.0,13.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_005,19.0,14.0,5.0,9.0,2.0,10.0,7.0,10.0,5.0,5.0,14.0,6.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_006,19.0,16.0,5.0,9.0,4.0,10.0,7.0,9.0,4.0,4.0,13.0,5.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_007,18.0,12.0,5.0,10.0,3.0,10.0,8.0,13.0,4.0,5.0,12.0,6.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_008,18.0,15.0,5.0,8.0,4.0,12.0,8.0,10.0,3.0,5.0,12.0,0.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_009,18.0,15.0,5.0,9.0,2.0,11.0,8.0,10.0,4.0,5.0,13.0,3.0,False,False,False,False,False,True
synthetic-syn-large-vision-high,run_010,20.0,15.0,5.0,8.0,3.0,8.0,7.0,12.0,3.0,5.0,14.0,6.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_001,18.0,15.0,5.0,9.0,3.0,10.0,8.0,11.0,4.0,4.0,13.0,4.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_002,19.0,15.0,5.0,11.0,3.0,10.0,8.0,10.0,4.0,5.0,10.0,5.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_003,18.0,14.0,6.0,9.0,2.0,11.0,8.0,10.0,3.0,5.0,14.0,4.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_004,18.0,13.0,5.0,9.0,3.0,14.0,9.0,8.0,3.0,5.0,13.0,5.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_005,18.0,15.0,5.0,8.0,2.0,10.0,10.0,10.0,3.0,5.0,14.0,4.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_006,19.0,14.0,7.0,10.0,4.0,10.0,8.0,9.0,3.0,5.0,11.0,5.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_007,18.0,14.0,7.0,10.0,2.0,10.0,9.0,10.0,3.0,5.0,12.0,5.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_008,19.0,14.0,5.0,9.0,3.0,10.0,7.0,10.0,4.0,4.0,15.0,6.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_009,18.0,14.0,6.0,10.0,3.0,10.0,9.0,8.0,3.0,5.0,14.0,6.0,False,False,False,False,False,True
synthetic-syn-small-vision-high,run_010,19.0,15.0,5.0,9.0,2.0,10.0,8.0,10.0,4.0,5.0,13.0,4.0,False,False,False,False,False,True
