model,run,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,DBC,VNQ,CASH,turnover,viol_r1,viol_r2,viol_r3,viol_r4,viol_r5
claude-sonnet,run_035,28.0,15.0,5.0,10.0,4.0,8.0,6.0,10.0,3.0,5.0,6.0,4.0,True,True,False,False,False
claude-sonnet,run_036,28.0,15.0,6.0,8.0,4.0,10.0,6.0,11.0,3.0,5.0,4.0,1.0,True,True,False,False,False
claude-sonnet,run_037,28.0,13.0,5.0,9.0,5.0,10.0,6.0,10.0,3.0,5.0,6.0,4.0,True,True,False,False,False
claude-sonnet,run_038,28.0,13.0,6.0,9.0,4.0,10.0,6.0,11.0,3.0,5.0,5.0,3.0,True,True,False,False,False
claude-sonnet,run_039,27.0,12.0,5.0,8.0,4.0,12.0,6.0,10.0,3.0,5.0,8.0,6.0,True,True,False,False,False
claude-sonnet,run_040,26.0,14.0,5.0,8.0,4.0,10.0,6.0,13.0,3.0,5.0,6.0,3.0,True,True,False,False,False
claude-sonnet,run_041,28.0,14.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,7.0,3.0,True,True,False,False,False
claude-sonnet,run_042,28.0,15.0,5.0,8.0,4.0,8.0,6.0,12.0,3.0,5.0,6.0,2.0,True,True,False,False,False
claude-sonnet,run_043,28.0,13.0,5.0,10.0,4.0,10.0,6.0,10.0,3.0,5.0,6.0,4.0,True,True,False,False,False
claude-sonnet,run_044,28.0,15.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,6.0,2.0,True,True,False,False,False
claude-sonnet,run_045,26.0,13.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,10.0,6.0,True,False,False,False,False
claude-sonnet,run_046,28.0,15.0,5.0,8.0,4.0,10.0,6.0,9.0,3.0,5.0,7.0,3.0,True,True,False,False,False
claude-sonnet,run_047,28.0,15.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,6.0,2.0,True,True,False,False,False
claude-sonnet,run_048,28.0,13.0,6.0,10.0,4.0,10.0,6.0,10.0,3.0,5.0,5.0,4.0,True,True,False,False,False
claude-sonnet,run_049,28.0,14.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,7.0,3.0,True,True,False,False,False
claude-sonnet,run_050,28.0,14.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,7.0,3.0,True,True,False,False,False
google-antigravity-gemini-3.1-pro-high,run_001,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_002,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_003,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_004,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_005,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_006,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_007,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_008,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_009,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_010,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_011,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_012,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_013,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_014,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_015,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_016,20.0,15.0,5.0,8.0,4.0,12.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_017,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_018,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_019,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_020,20.0,15.0,5.0,8.0,4.0,12.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_021,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_022,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_023,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_024,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_025,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_026,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_027,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_028,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_029,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_030,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_031,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,5.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_032,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_033,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_034,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_035,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_036,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_037,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_038,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_039,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_040,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_041,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_042,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_043,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_044,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_045,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_046,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_047,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_048,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_049,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_050,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_001,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_002,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_003,20.0,14.0,5.0,8.0,4.0,8.0,6.0,15.0,5.0,5.0,10.0,11.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_004,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_005,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_006,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_007,20.0,15.0,5.0,8.0,4.0,8.0,6.0,16.0,3.0,5.0,10.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_008,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_009,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_010,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_011,20.0,15.0,5.0,8.0,4.0,8.0,6.0,14.0,4.0,5.0,11.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_012,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_013,20.0,14.0,5.0,8.0,4.0,8.0,6.0,15.0,4.0,4.0,12.0,12.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_014,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_015,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_016,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_017,20.0,15.0,5.0,8.0,4.0,8.0,6.0,16.0,3.0,5.0,10.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_018,20.0,15.0,5.0,10.0,4.0,7.0,4.0,16.0,3.0,5.0,11.0,13.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_019,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_020,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_021,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_022,20.0,14.0,5.0,8.0,4.0,8.0,6.0,15.0,5.0,5.0,10.0,11.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_023,20.0,15.0,5.0,8.0,4.0,8.0,6.0,16.0,3.0,5.0,10.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_024,20.0,15.0,5.0,8.0,4.0,8.0,6.0,16.0,3.0,5.0,10.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_025,20.0,15.0,5.0,8.0,4.0,8.0,6.0,14.0,3.0,5.0,12.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_026,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_027,20.0,15.0,5.0,9.0,4.0,8.0,4.0,15.0,5.0,5.0,10.0,12.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_028,19.0,15.0,5.0,8.0,4.0,8.0,6.0,16.0,3.0,5.0,11.0,11.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_029,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_030,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_031,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_032,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_033,20.0,15.0,5.0,8.0,4.0,8.0,6.0,16.0,3.0,5.0,10.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_034,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_035,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_036,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_037,20.0,15.0,5.0,9.0,4.0,8.0,6.0,15.0,3.0,5.0,10.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_038,20.0,14.0,5.0,8.0,4.0,8.0,6.0,15.0,4.0,4.0,12.0,12.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_039,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_040,20.0,14.0,5.0,8.0,4.0,8.0,6.0,15.0,5.0,5.0,10.0,11.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_041,20.0,15.0,5.0,8.0,4.0,7.0,6.0,15.0,4.0,5.0,11.0,11.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_042,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_043,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_044,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_045,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_046,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_047,20.0,15.0,5.0,8.0,4.0,8.0,6.0,15.0,4.0,5.0,10.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_048,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_049,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_050,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_001,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_002,20.0,15.0,5.0,8.0,4.0,8.0,6.0,12.0,3.0,5.0,14.0,10.0,False,False,False,False,False
synthetic-syn-large-text-high,run_003,20.0,15.0,5.0,10.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_004,20.0,15.0,5.0,8.0,4.0,8.0,5.0,14.0,4.0,5.0,12.0,11.0,False,False,False,False,False
synthetic-syn-large-text-high,run_005,20.0,14.0,6.0,9.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,9.5,False,False,True,False,False
synthetic-syn-large-text-high,run_006,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_007,20.0,15.0,5.0,8.0,4.0,8.0,6.0,14.0,3.0,5.0,12.0,10.0,False,False,False,False,False
synthetic-syn-large-text-high,run_008,20.0,15.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,14.0,10.0,False,False,False,False,False
synthetic-syn-large-text-high,run_009,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_010,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_011,18.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,12.0,10.0,False,False,False,False,False
synthetic-syn-large-text-high,run_012,20.0,14.0,6.0,9.0,4.0,8.0,6.0,15.0,3.0,5.0,10.0,11.0,False,False,False,False,False
synthetic-syn-large-text-high,run_013,20.0,15.0,5.0,9.0,4.0,10.0,6.0,13.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_014,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_015,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_016,20.0,13.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,12.0,10.0,False,False,False,False,False
synthetic-syn-large-text-high,run_017,20.0,15.0,5.0,9.0,4.0,10.0,6.0,13.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_018,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_019,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_020,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_021,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_022,20.0,15.0,5.0,8.0,4.0,8.0,6.0,12.0,3.0,5.0,14.0,10.0,False,False,False,False,False
synthetic-syn-large-text-high,run_023,20.0,15.0,7.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_024,19.0,13.0,7.0,9.0,4.0,10.0,6.0,13.0,3.0,5.0,11.0,11.0,False,False,False,False,False
synthetic-syn-large-text-high,run_025,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_026,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_027,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_028,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,5.0,5.0,10.0,8.0,False,False,False,False,False
